hire_ref;booked_on;depot;region;asset_ref;asset_name;hire_days;day_rate_gbp;account_ref;status;delivered
H100029;28/03/2024;Norwich Depot;East;SF-TOW;Site Tower Light;7;49.1;ACC0257;completed;Y
H100030;24/06/2024;Norwich Depot;East;PB-15;Powered Barrow;1;41.78;ACC0089;completed;N
H100031;03/06/2023;Norwich Depot;East;GEN-60;60kVA Generator;-3;89.19;ACC0055;cancelled;Y
H100032;14/05/2023;Norwich Depot;East;PB-15;Powered Barrow;-2;38.14;;cancelled;Y
H100033;30/08/2024;Leeds Depot;North;WP-02;Water Pump 2in;5;21.59;ACC0245;completed;Y
H100034;22/12/2023;Leeds Depot;North;SF-TOW;Site Tower Light;7;50.47;ACC0063;completed;Y
H100035;12/06/2024;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;-5;148.33;ACC0080;cancelled;Y
H100036;16/12/2023;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;-1;60.55;ACC0204;cancelled;Y
H100037;16/11/2023;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;28;76.22;ACC0216;completed;Y
H100038;20/04/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;2;97.9;;completed;Y
H100039;05/06/2023;Leeds Depot;North;DM-09;Diesel Dumper 9T;28;134.32;;completed;Y
H100040;02/01/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;7;41.24;ACC0133;completed;Y
H100041;19/08/2024;Bristol Depot;South West;WP-02;Water Pump 2in;1;20.96;ACC0094;completed;Y
H100042;30/06/2023;Bristol Depot;South West;PB-15;Powered Barrow;3;40.7;ACC0136;completed;Y
H100043;18/10/2024;Glasgow Depot;Scotland;TL-01;Telehandler 4m;3;201.18;;completed;Y
H100044;25/12/2023;Leeds Depot;North;EX-140;13T Excavator;14;310.0;ACC0106;completed;N
H100045;21/03/2024;Glasgow Depot;Scotland;PB-15;Powered Barrow;1;44.14;;completed;Y
H100046;08/12/2023;Bristol Depot;South West;SF-TOW;Site Tower Light;3;55.23;ACC0254;completed;Y
H100047;10/02/2024;Leeds Depot;North;WP-02;Water Pump 2in;2;21.95;ACC0072;completed;N
H100048;11/08/2023;Glasgow Depot;Scotland;EX-140;13T Excavator;2;304.09;;completed;Y
H100049;14/01/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;21.65;ACC0138;completed;Y
H100050;12/10/2024;Bristol Depot;South West;GEN-60;60kVA Generator;28;93.47;ACC0183;completed;N
H100051;11/01/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;1;31.77;ACC0047;completed;Y
H100052;13/05/2023;Glasgow Depot;Scotland;TL-01;Telehandler 4m;2;194.5;ACC0080;completed;Y
H100053;03/05/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;1;43.2;ACC0075;completed;Y
H100054;13/06/2024;Norwich Depot;East;WP-02;Water Pump 2in;1;23.63;ACC0259;completed;N
H100055;19/11/2024;Leeds Depot;North;PB-15;Powered Barrow;1;44.01;;completed;Y
H100056;06/07/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;3;33.77;ACC0251;completed;N
H100057;28/08/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;3;49.94;;completed;N
H100058;28/12/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;77.02;ACC0236;completed;Y
H100059;20/01/2024;Norwich Depot;East;PB-15;Powered Barrow;3;41.99;ACC0076;completed;Y
H100060;27/12/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;2;34.96;ACC0051;completed;Y
H100061;10/09/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;2;89.64;ACC0103;completed;Y
H100062;22/01/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;28;36.27;ACC0138;completed;Y
H100063;16/06/2023;Leeds Depot;North;WP-02;Water Pump 2in;5;23.65;ACC0185;completed;Y
H100064;25/07/2023;Leeds Depot;North;WP-02;Water Pump 2in;2;20.71;ACC0202;completed;Y
H100065;05/07/2024;Leeds Depot;North;TL-01;Telehandler 4m;2;173.01;ACC0062;completed;Y
H100066;12/05/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;5;134.91;ACC0149;completed;Y
H100067;24/11/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;5;152.76;ACC0144;completed;Y
H100068;31/08/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;2;77.59;ACC0192;completed;N
H100069;14/05/2024;Norwich Depot;East;SF-TOW;Site Tower Light;-3;51.26;ACC0026;cancelled;Y
H100070;20/08/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;2;22.19;ACC0066;completed;Y
H100071;18/12/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;2;40.31;ACC0248;completed;N
H100072;13/09/2023;Norwich Depot;East;DM-09;Diesel Dumper 9T;14;141.12;ACC0113;completed;Y
H100073;11/06/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;1;141.94;ACC0047;completed;Y
H100074;24/10/2023;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;2;62.34;ACC0108;completed;N
H100075;10/01/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;1;36.16;ACC0111;completed;Y
H100076;30/06/2024;Glasgow Depot;Scotland;TL-01;Telehandler 4m;7;185.75;ACC0012;completed;Y
H100077;28/07/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;1;49.91;ACC0240;open;N
H100078;06/09/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;14;81.98;ACC0235;completed;N
H100079;07/08/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;3;78.85;ACC0066;completed;Y
H100080;24/07/2023;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;3;151.74;ACC0199;completed;N
H100081;02/10/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;1;91.93;ACC0125;completed;Y
H100082;26/05/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;21.52;ACC0216;completed;Y
H100083;14/04/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;5;74.71;ACC0186;completed;Y
H100084;29/08/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;28;138.54;ACC0100;completed;Y
H100085;28/01/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;2;154.52;ACC0115;completed;N
H100086;30/11/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;1;77.44;;completed;Y
H100087;06/10/2023;Glasgow Depot;Scotland;TL-01;Telehandler 4m;5;178.54;ACC0085;completed;Y
H100088;22/07/2024;Cardiff Depot;Wales;EX-140;13T Excavator;7;285.34;ACC0227;completed;Y
H100089;25/03/2024;Bristol Depot;South West;TL-01;Telehandler 4m;3;197.67;ACC0195;completed;Y
H100090;16/06/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;1;141.85;ACC0229;completed;Y
H100091;02/05/2023;Leeds Depot;North;WP-02;Water Pump 2in;7;22.37;ACC0021;completed;Y
H100092;03/06/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;14;84.2;ACC0140;completed;N
H100093;19/02/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;1;49.79;ACC0034;completed;Y
H100094;20/07/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;5;51.97;ACC0253;completed;N
H100095;05/02/2024;Leeds Depot;North;PB-15;Powered Barrow;3;42.86;ACC0164;completed;Y
H100096;06/09/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;79.16;;completed;Y
H100097;10/06/2024;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;1;63.98;;completed;Y
H100098;01/07/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;2;82.86;ACC0121;completed;Y
H100099;03/08/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;1;39.43;ACC0191;completed;Y
H100100;08/10/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;77.19;ACC0097;completed;Y
H100101;01/09/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;3;36.08;ACC0053;completed;Y
H100102;03/07/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;7;55.94;ACC0026;completed;Y
H100103;16/06/2023;Leeds Depot;North;TL-01;Telehandler 4m;2;190.89;ACC0004;completed;Y
H100104;09/11/2023;Glasgow Depot;Scotland;EX-140;13T Excavator;1;321.52;ACC0131;completed;Y
H100105;12/04/2023;Cardiff Depot;Wales;PB-15;Powered Barrow;3;37.93;ACC0160;completed;Y
H100106;08/08/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;5;135.51;ACC0080;completed;N
H100107;03/01/2024;Glasgow Depot;Scotland;TL-01;Telehandler 4m;3;190.0;ACC0027;completed;Y
H100108;31/05/2024;Glasgow Depot;Scotland;EX-140;13T Excavator;3;285.49;ACC0208;completed;Y
H100109;07/06/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;2;136.42;ACC0236;completed;N
H100110;24/08/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;1;21.32;ACC0190;completed;Y
H100111;13/09/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;1;35.83;ACC0102;completed;N
H100112;07/08/2024;Norwich Depot;East;GEN-60;60kVA Generator;14;101.48;ACC0083;completed;Y
H100113;20/12/2024;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;-1;60.48;ACC0205;cancelled;Y
H100114;01/09/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;76.29;ACC0020;completed;Y
H100115;10/07/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;3;34.86;ACC0128;completed;Y
H100116;22/06/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;3;79.99;ACC0121;completed;Y
H100117;01/10/2023;Cardiff Depot;Wales;PB-15;Powered Barrow;1;42.98;ACC0221;completed;Y
H100118;12/05/2023;Leeds Depot;North;EX-140;13T Excavator;1;310.19;ACC0041;completed;Y
H100119;18/08/2023;Bristol Depot;South West;EX-140;13T Excavator;28;333.89;ACC0057;completed;Y
H100120;17/09/2023;Leeds Depot;North;WP-02;Water Pump 2in;1;23.93;ACC0130;completed;Y
H100121;11/07/2024;Norwich Depot;East;SC-22;Scissor Lift 22ft;28;75.2;ACC0135;completed;Y
H100122;21/10/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;-3;74.34;ACC0168;cancelled;Y
H100123;27/07/2023;Bristol Depot;South West;PB-15;Powered Barrow;3;41.53;ACC0232;completed;Y
H100124;17/07/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;3;84.66;ACC0191;completed;Y
H100125;03/04/2024;Bristol Depot;South West;GEN-60;60kVA Generator;2;96.25;ACC0025;completed;Y
H100126;20/11/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;5;52.97;ACC0114;completed;Y
H100127;06/09/2024;Bristol Depot;South West;GEN-60;60kVA Generator;1;88.36;ACC0024;completed;Y
H100128;18/07/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;1;34.67;ACC0069;completed;Y
H100129;16/08/2023;Leeds Depot;North;EX-140;13T Excavator;5;328.42;ACC0033;completed;Y
H100130;16/05/2024;Bristol Depot;South West;PB-15;Powered Barrow;1;41.51;ACC0180;completed;Y
H100131;12/09/2024;Leeds Depot;North;WP-02;Water Pump 2in;1;20.79;;completed;Y
H100132;11/09/2023;Bristol Depot;South West;DM-09;Diesel Dumper 9T;1;138.03;ACC0101;completed;Y
H100133;01/09/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;7;22.95;ACC0159;completed;Y
H100134;02/08/2024;Bristol Depot;South West;WP-02;Water Pump 2in;2;23.06;ACC0239;completed;N
H100135;17/07/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;1;75.56;ACC0135;completed;Y
H100136;20/06/2024;Norwich Depot;East;WP-02;Water Pump 2in;28;22.53;ACC0112;completed;N
H100137;28/11/2023;Leeds Depot;North;HD-BRK;Hydraulic Breaker;14;62.86;ACC0168;completed;Y
H100138;23/04/2024;Norwich Depot;East;SF-TOW;Site Tower Light;2;51.48;ACC0004;completed;Y
H100139;05/11/2024;Leeds Depot;North;HD-BRK;Hydraulic Breaker;2;59.16;ACC0088;completed;N
H100140;13/09/2023;Leeds Depot;North;GEN-60;60kVA Generator;5;98.2;;completed;N
H100141;09/06/2023;Bristol Depot;South West;WP-02;Water Pump 2in;7;23.65;ACC0103;completed;Y
H100142;07/06/2023;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;1;68.6;ACC0058;completed;Y
H100143;29/06/2023;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;2;62.33;ACC0105;completed;Y
H100144;25/03/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;1;79.78;ACC0165;completed;Y
H100145;20/01/2024;Bristol Depot;South West;WP-02;Water Pump 2in;5;21.05;;completed;Y
H100146;20/05/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;5;31.29;ACC0148;completed;Y
H100147;26/05/2023;Cardiff Depot;Wales;EX-140;13T Excavator;1;314.59;ACC0095;open;Y
H100148;09/09/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;73.6;ACC0119;completed;Y
H100149;22/06/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;5;36.33;ACC0183;completed;Y
H100150;28/06/2023;Bristol Depot;South West;TL-01;Telehandler 4m;-2;188.04;ACC0220;cancelled;Y
H100151;26/11/2023;Leeds Depot;North;SF-TOW;Site Tower Light;3;50.56;ACC0018;completed;N
H100152;05/07/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;21.15;ACC0132;completed;Y
H100153;30/11/2023;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;2;36.58;ACC0080;completed;Y
H100154;08/12/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;1;35.24;ACC0133;open;N
H100155;14/07/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;28;74.68;ACC0153;completed;Y
H100156;19/07/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;2;95.03;;completed;Y
H100157;29/01/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;1;36.22;ACC0003;completed;Y
H100158;08/11/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;7;23.01;ACC0118;completed;Y
H100159;15/02/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;14;80.13;ACC0205;completed;Y
H100160;07/06/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;-3;33.06;ACC0094;cancelled;N
H100161;14/08/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;1;55.76;ACC0083;completed;Y
H100162;22/03/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;2;148.23;ACC0244;completed;Y
H100163;16/09/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;1;102.65;ACC0201;completed;Y
H100164;19/12/2024;Bristol Depot;South West;GEN-60;60kVA Generator;1;94.75;ACC0032;completed;Y
H100165;26/03/2024;Bristol Depot;South West;WP-02;Water Pump 2in;1;24.16;ACC0113;open;Y
H100166;16/09/2023;Bristol Depot;South West;DM-09;Diesel Dumper 9T;7;150.12;ACC0241;completed;Y
H100167;28/08/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;2;95.53;ACC0065;completed;Y
H100168;22/11/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;5;100.69;ACC0096;completed;Y
H100169;01/04/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;2;76.77;ACC0044;completed;Y
H100170;29/04/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;14;141.41;ACC0072;completed;Y
H100171;12/04/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;3;82.95;ACC0052;completed;Y
H100172;06/07/2024;Leeds Depot;North;GEN-60;60kVA Generator;1;98.89;ACC0086;completed;Y
H100173;02/07/2023;Norwich Depot;East;WP-02;Water Pump 2in;5;21.47;ACC0102;completed;N
H100174;23/06/2024;Bristol Depot;South West;WP-02;Water Pump 2in;3;22.4;ACC0120;completed;Y
H100175;08/08/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;5;35.97;ACC0085;completed;N
H100176;23/02/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;2;33.56;ACC0239;completed;Y
H100177;17/06/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;3;80.79;;completed;Y
H100178;04/03/2024;Bristol Depot;South West;PB-15;Powered Barrow;2;42.43;ACC0074;completed;Y
H100179;12/03/2024;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;2;141.33;ACC0108;completed;Y
H100180;24/05/2023;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;2;61.66;ACC0171;completed;Y
H100181;26/10/2023;Bristol Depot;South West;WP-02;Water Pump 2in;2;24.2;ACC0154;completed;N
H100182;12/05/2023;Norwich Depot;East;TL-01;Telehandler 4m;7;176.22;ACC0026;completed;N
H100183;30/07/2024;Bristol Depot;South West;WP-02;Water Pump 2in;5;22.96;ACC0193;completed;Y
H100184;01/12/2024;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;1;60.66;ACC0235;completed;Y
H100185;08/05/2023;Bristol Depot;South West;TL-01;Telehandler 4m;14;177.13;ACC0189;completed;Y
H100186;21/12/2023;Leeds Depot;North;HD-BRK;Hydraulic Breaker;2;64.8;ACC0221;completed;Y
H100187;22/08/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;7;36.28;ACC0216;completed;Y
H100188;15/04/2023;Norwich Depot;East;WP-02;Water Pump 2in;3;22.18;ACC0080;completed;N
H100189;27/07/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;3;73.75;ACC0005;completed;Y
H100190;30/06/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;1;75.26;;completed;Y
H100191;09/10/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;5;48.54;ACC0075;completed;Y
H100192;23/08/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;14;31.61;;completed;Y
H100193;24/12/2024;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;2;140.74;ACC0250;completed;Y
H100194;23/06/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;1;32.17;ACC0186;open;Y
H100195;01/08/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;14;174.78;ACC0171;completed;Y
H100196;05/12/2024;Norwich Depot;East;GEN-60;60kVA Generator;5;101.11;;completed;Y
H100197;09/12/2023;Cardiff Depot;Wales;TL-01;Telehandler 4m;3;173.01;ACC0232;completed;Y
H100198;06/06/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;1;82.91;ACC0076;completed;Y
H100199;24/08/2024;Bristol Depot;South West;GEN-60;60kVA Generator;3;99.84;ACC0196;completed;Y
H100200;26/11/2023;Bristol Depot;South West;GEN-60;60kVA Generator;-3;97.33;ACC0106;cancelled;N
H100201;29/04/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;3;34.43;ACC0033;completed;Y
H100202;16/09/2024;Norwich Depot;East;GEN-60;60kVA Generator;3;100.7;ACC0099;completed;Y
H100203;12/11/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;5;36.7;ACC0127;completed;Y
H100204;18/07/2023;Cardiff Depot;Wales;TL-01;Telehandler 4m;5;188.59;ACC0016;completed;N
H100205;05/05/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;-2;75.73;ACC0134;cancelled;N
H100206;01/07/2024;Norwich Depot;East;PB-15;Powered Barrow;28;44.24;ACC0020;completed;Y
H100207;29/04/2023;Norwich Depot;East;EX-140;13T Excavator;-2;330.33;ACC0250;cancelled;N
H100208;03/12/2024;Bristol Depot;South West;WP-02;Water Pump 2in;5;21.54;;completed;N
H100209;31/08/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;7;179.63;ACC0121;open;N
H100210;19/12/2023;Bristol Depot;South West;SF-TOW;Site Tower Light;14;52.11;ACC0025;completed;Y
H100211;08/08/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;2;150.76;;completed;Y
H100212;25/06/2024;Bristol Depot;South West;PB-15;Powered Barrow;2;40.88;ACC0200;completed;N
H100213;01/12/2023;Bristol Depot;South West;PB-15;Powered Barrow;2;43.18;ACC0019;completed;N
H100214;24/12/2024;Leeds Depot;North;HD-BRK;Hydraulic Breaker;5;65.31;ACC0198;completed;Y
H100215;13/03/2024;Leeds Depot;North;GEN-60;60kVA Generator;2;99.63;ACC0074;completed;Y
H100216;06/07/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;2;32.13;ACC0215;completed;Y
H100217;29/01/2024;Leeds Depot;North;GEN-60;60kVA Generator;1;95.73;;completed;N
H100218;07/09/2024;Leeds Depot;North;DM-09;Diesel Dumper 9T;3;138.08;ACC0062;completed;Y
H100219;24/12/2023;Leeds Depot;North;SF-TOW;Site Tower Light;1;53.88;ACC0084;completed;Y
H100220;17/04/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;2;36.41;ACC0001;completed;Y
H100221;03/04/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;1;188.65;ACC0071;completed;Y
H100222;27/09/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;7;74.42;ACC0254;completed;N
H100223;14/10/2023;Leeds Depot;North;WP-02;Water Pump 2in;1;24.0;ACC0209;completed;Y
H100224;21/03/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;1;98.54;ACC0245;completed;Y
H100225;28/10/2024;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;1;68.42;ACC0003;completed;Y
H100226;13/06/2023;Leeds Depot;North;DM-09;Diesel Dumper 9T;7;153.54;ACC0165;completed;Y
H100227;02/06/2023;Bristol Depot;South West;GEN-60;60kVA Generator;14;96.57;ACC0014;completed;N
H100228;30/06/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;83.85;ACC0016;completed;Y
H100229;24/12/2023;Norwich Depot;East;EX-140;13T Excavator;3;290.3;ACC0123;completed;Y
H100230;01/10/2023;Bristol Depot;South West;EX-140;13T Excavator;2;291.23;ACC0144;completed;Y
H100231;06/10/2024;Leeds Depot;North;WP-02;Water Pump 2in;1;23.67;ACC0204;completed;Y
H100232;03/05/2024;Norwich Depot;East;WP-02;Water Pump 2in;7;20.89;ACC0203;open;Y
H100233;15/05/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;5;82.87;ACC0165;completed;N
H100234;11/09/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;1;78.89;ACC0006;completed;N
H100235;17/06/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;1;83.99;ACC0204;completed;Y
H100236;12/05/2023;Norwich Depot;East;EX-140;13T Excavator;1;325.19;ACC0140;completed;N
H100237;12/07/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;1;76.06;ACC0021;completed;Y
H100238;02/08/2023;Norwich Depot;East;DM-09;Diesel Dumper 9T;14;155.02;;completed;Y
H100239;05/09/2024;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;14;135.44;ACC0141;completed;Y
H100240;09/07/2024;Norwich Depot;East;WP-02;Water Pump 2in;1;22.67;ACC0188;completed;Y
H100241;24/07/2024;Bristol Depot;South West;PB-15;Powered Barrow;1;40.32;ACC0197;open;Y
H100242;14/09/2023;Leeds Depot;North;HD-BRK;Hydraulic Breaker;2;68.99;ACC0139;completed;Y
H100243;23/04/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;3;82.7;ACC0032;completed;Y
H100244;21/07/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;2;34.63;ACC0072;completed;Y
H100245;12/09/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;1;135.8;ACC0066;completed;Y
H100246;15/10/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;2;23.52;ACC0077;completed;Y
H100247;12/12/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;5;142.46;ACC0181;completed;Y
H100248;28/04/2024;Bristol Depot;South West;WP-02;Water Pump 2in;5;21.78;ACC0256;completed;Y
H100249;27/08/2023;Cardiff Depot;Wales;TL-01;Telehandler 4m;-3;182.7;;cancelled;Y
H100250;05/12/2023;Leeds Depot;North;SF-TOW;Site Tower Light;28;49.97;ACC0006;completed;Y
H100251;02/02/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;3;50.82;ACC0221;completed;Y
